start,text
670.56,"And then finally, if we think"
672.8399999999999,about the idea of new faces in
674.88,"the office today, then it"
676.7199999999999,conveys this sense of identity
678.56,"yourself, which is also"
679.88,potentially shared by the core
681.68,meaning of face. So this example
684.16,"shows, and you will see these"
685.8399999999999,effects if you look at many
686.92,"other words, that rather than"
689.4,"discrete word senses, which are"
691.16,"orthogonal to each other, we"
693.16,might be better off modelling
694.56,this discrepancy in meaning
696.68,within individual words as
699.24,"operations that can interact,"
701.24,but are not necessarily the
703.04,"same. Okay, now when we think"
707.24,about the fact that each word
708.56,could have many of these
709.6,"different senses, how could a"
711.12,processor possibly make sense of
712.92,a sentence? How could it
714.1999999999999,possibly disambiguate the
715.48,possibilities for the different
716.76,senses in order to come to one
718.6,coherent understanding of a
720.44,"phrase? Well, one of the ways in"
722.44,which we do that is of course by
723.7600000000001,using additional information
725.32,separate from that particular
726.48,word. So we use the wider
728.1600000000001,context. And to give just a
733.12,small example of how our
734.5200000000001,language processing really
735.8800000000001,"depends on context, consider"
737.8800000000001,this example. It actually goes
739.6400000000001,back to Rumelhart in the mid to
741.32,late seventies. So he noticed
744.08,that if we had some handwriting
745.4000000000001,"like this, Jack and Jill went up"
746.7600000000001,"the hill, we can read it very"
748.08,"quickly. And in the bottom case,"
750.12,the pole vault was the last
751.28,event. We can read that just as
752.6,easily. But if you look at the
754.68,"areas highlighted in red here,"
757.16,you'll see that there's
760.0,actually a character which is
761.44,identical in both cases. And
763.96,it's arguably midway between an
767.72,E V and a W. But when we read
770.92,"the sentence seamlessly, we just"
773.44,"interpret this character, which"
775.4,could potentially be ambiguous
778.0,in the way which fits most
779.32,naturally with the whole of the
782.6,wider sentence around it. So
785.2800000000001,this sort of example intuitively
787.2800000000001,gives us some justification for
788.96,"thinking, well, maybe it's the"
790.36,interactions between the
791.72,individual tokens that we're
792.88,looking at and all of the things
794.48,"around them, which actually"
796.0400000000001,allow us to solve the mystery of
798.4000000000001,which possible sort of sense of
800.32,a word we might be looking at at
801.6400000000001,any given one time. And in
804.8000000000001,"particular, what we probably do"
806.96,"according to this example, at"
808.08,"least, is think about the whole"
810.72,sentence and think what's the
811.84,most likely interpretation of
813.48,the whole sentence. And that in
815.24,itself informs the individual
817.2800000000001,interpretation of the particular
819.1600000000001,characters where ambiguities
821.32,might be. Another classic
824.72,example of this phenomenon can
826.44,be simply gained by reading the
828.88,"following symbol on your screen,"
831.72,"the following image, by reading"
833.36,it across or down. So obviously
834.8000000000001,"as we read it down, the"
836.32,character at the very centre of
837.84,the image looks very much like a
839.6800000000001,"13, but as we read it across, it"
841.96,looks clearly like a B. And this
843.72,"tells us the extent to it, even"
845.36,in our very early perceptual
846.76,"processes, the context is"
848.72,informing the ways in which we
850.88,map what we're seeing into
853.12,things further inside our
854.32,"processor, which might be our"
857.24,memories of existing symbols
859.0,like 13 or B in this case.
864.44,So we've seen then that words
865.56,are not necessarily best modelled
868.0,as discrete symbols. And we've
869.68,also seen that in order to
873.52,decide what naturally fit
874.92,"between these word-like things,"
876.8,we better off be considering
878.68,wider context in order to
880.4,modulate those computations.
883.0799999999999,Another very important fact
884.3599999999999,about language is that the
885.3599999999999,"important interactions, which we"
887.56,"may well need to model, can very"
890.8,often be non-local. So it can be
892.8,things that are not very close
894.56,"together, which we have to"
896.56,capture the interactions
897.76,between. Classic example is
900.0,"sentences a bit like this, the"
902.0799999999999,man who ate the pepper sneezed.
904.4399999999999,So even though the pepper
906.0,"sneezed, that part of the"
908.0,"sentence is contiguous, we, as"
910.64,"we read the sentence, know that"
912.0,it's in fact the man who
914.0,sneezed. We know that this sort
915.76,of image characterises what
918.04,happened when we read this
919.52,sentence and that there isn't
921.2399999999999,necessarily anything to do with
923.04,pepper to be seen apart from
924.8,the fact that that's something
925.88,that the man just ate. So this
930.4399999999999,tells us that it can be things
931.8,at one end of the sentence and
933.64,things at the very other end of
935.04,"the sentence, which must be"
936.52,considered to interact in order
938.8399999999999,for us to form the most
941.36,satisfactory meaning when we
943.36,read sequences of words.
946.0799999999999,"However, there are of course"
948.0,other factors at play. So
949.88,"consider the sentence, the cat"
951.84,who bit the dog barked. Now it's
954.36,actually the case that people
955.8000000000001,are much slower to make sense of
957.52,this sentence than the man who
959.72,"ate the pepper sneezed, even"
961.84,though they have exactly the
962.96,same overall structure and
965.0,length. Eventually upon
968.0400000000001,"thinking about it, we do"
969.52,"realise that in the sentence,"
970.96,"the cat who bit the dog barked,"
973.32,"it's actually unusually the cat,"
975.0,which does the barking. But our
977.12,difficulty to process this also
979.0,tells us that many factors are
980.52,"at play. So in particular, it"
982.68,seems to be that the three word
985.72,"phrase, the dog barked, seems to"
987.84,capture our attention. And we
990.48,sort of have an urge to consider
992.0,that it's actually the dog
993.12,barking in a way that's more
996.4399999999999,"strong than in the other case,"
998.16,where we don't have such a
999.0799999999999,strong urge to consider that
1000.0799999999999,it's the pepper that sneezed.
1002.04,"Now, where might those urges"
1003.36,come from? And can we capture
1005.12,those in our computational
1006.16,"models? Well, these sorts of"
1008.6,examples seem to tell us that
1010.4,those urges can come from our
1011.8,underlying understanding of the
1013.28,"world, our understanding of the"
1014.8,"meaning of dog and barking, and"
1016.8,the fact that those are very
1017.9599999999999,likely to come together and
1019.88,describe a particular situation.
1022.0799999999999,Whereas our knowledge of peppers
1024.6,will tell us that they don't
1025.52,"typically sneeze. And therefore,"
1028.0,we don't think that the pepper
1029.08,sneeze is very likely state of
1030.92,affairs. And we look for other
1033.32,ways to make sense of the
1035.16,sentence and the correct way of
1037.8,making sense of the sentence in
1039.4,"fact, is more salient to us as"
1042.0,we process it. So that's just a
1044.44,thought to bear in mind when
1045.3200000000002,we're thinking about optimal
1046.76,processes of language in deep
1048.68,learning models. And then
1051.76,there's another final point. So
1053.2,lots of people who consider and
1054.8000000000002,"talk about language,"
1056.2,particularly in the wider
1057.1200000000001,"machine learning community,"
1059.44,consider language to be
1060.52,compositional in the sense that
1063.3600000000001,the meaning can be computed
1064.68,simply by elegant operations on
1068.56,the individual parts. But when
1071.08,we actually consider how
1072.08,"meanings combine, the picture is"
1074.9199999999998,a little bit less clear. And it
1076.76,seems very likely that whatever
1078.8,we do to combine meanings very
1081.24,well ought to take into account
1083.6799999999998,exactly what those meanings are.
1085.9199999999998,And it shouldn't operate
1087.6799999999998,arbitrarily on any different set
1089.6,of inputs. It should be a
1090.9199999999998,function which really takes into
1092.8799999999999,account the individual meanings
1094.2,in a particular scenario before
1096.32,deciding the best way to combine
1097.88,those meanings. Just to justify
1101.3600000000001,"that, consider the following"
1102.92,example. Here's a characteristic
1105.8000000000002,image of something that's red.
1108.44,"But if you look at red wine,"
1110.7600000000002,none of us would find that
1111.72,"unusual, but of course the"
1113.2,colour of that wine is much
1114.64,darker. It could even be black
1117.5200000000002,in that particular image. And
1119.3200000000002,here's a red pen. Our experience
1122.3600000000001,of pens tells us that even red
1124.2800000000002,pens needn't be at all red when
1125.8000000000002,we look at them from afar. It's
1127.44,only the ink that comes out of
1128.8400000000001,them that needs to be red. So
1131.68,even in something as simple as
1132.96,combining a colour adjective
1134.92,"with a noun, there's all sorts"
1137.24,of factors at play telling us
1138.52,exactly how those meanings
1139.92,combine. They don't seem to be
1142.24,equivalent from one pair of
1143.72,words to the next. Things get
1147.24,even more wacky in certain
1148.48,cases. So here's a classic
1150.0800000000002,example about pets. If we think
1152.8400000000001,"about a prototypical pet, it's"
1154.44,probably black or white or
1155.84,"brown, because obviously dogs"
1158.12,and cats have those sorts of
1159.24,"colours. If we think about fish,"
1162.32,then maybe a classical fish we
1163.8799999999999,think about would be silver or
1165.84,"grey, slippery in that way. But"
1168.1999999999998,"when we think about pet fish,"
1171.1599999999999,this sort of magic seems to
1172.24,happen where our typical pet
1175.4399999999998,fish has lots of bright colours.
1177.1599999999999,"It could be orange, green or"
1178.1999999999998,purple or yellow. So something
1180.6399999999999,seems to have happened in our
1181.76,mind to allow these strong
1183.9199999999998,features to come into the
1185.12,"representation of pet fish,"
1186.8,which didn't play a strong role
1188.56,in our representations of either
1190.52,pet or fish. This doesn't always
1193.56,"happen when we combine words,"
1194.9599999999998,but it does sometimes. Another
1197.32,"example would be this, our"
1199.32,"representation of plant, which"
1201.4399999999998,might be typically something
1202.84,like that. And our
1203.8799999999999,"representation of carnivore,"
1205.52,which might be a bit like that.
1207.56,But our representation of
1208.56,carnivorous plant has this
1210.32,additional feature about eating
1213.04,insects. So these are kind of
1217.6399999999999,wacky effects of how meanings
1219.44,interact when two words come
1221.96,together. And it's not
1225.44,necessarily easy to explain them
1227.48,in a model which treated every
1229.76,pair of words fed into that
1231.44,model with exactly the same
1233.12,function to combine their
1234.68,meanings. It very much seems to
1236.68,me that what's instead happening
1238.48,is that whatever function is
1239.56,combining the meanings is taking
1240.96,into account the individual
1242.6,meanings of the components going
1243.9599999999998,into that function. And
1245.9599999999998,"additionally, that function may"
1248.9199999999998,well need to take into account
1250.56,our wider knowledge of typical
1252.6399999999999,things we might encounter in the
1253.8,world and how their properties
1255.9599999999998,might fit together under the
1257.9199999999998,constraints of the world as we
1259.3999999999999,"know it. So just to summarise,"
1263.6,we've seen in this section that
1266.24,words have many related senses
1268.56,and that they're not necessarily
1270.24,characterised as sort of
1273.16,perfectly idealised discrete
1275.4,symbols. We've also seen that in
1278.56,order to somehow find which of
1280.92,those senses is most relevant in
1282.44,"a particular scenario, some of"
1285.48,the ways to settle that problem
1287.08,might require us to look at the
1288.24,wider context around that word.
1291.36,"And in many cases, we may need to"
1293.16,look a long way from the
1295.76,particular word to satisfactorily
1297.88,disambiguate the uncertainty
1299.64,that we have at any particular
1300.76,"point. And finally, when we're"
1303.16,thinking about building models
1304.72,of how word meanings might
1305.8400000000001,"combine, we've seen that"
1307.76,functions that combine meanings
1309.8400000000001,will probably need to take into
1311.2,account what the inputs to those
1312.8400000000001,functions are in order to come
1314.44,up with the best bespoke way of
1316.2,combining for those particular
1317.76,words. And we've even suggested
1320.6000000000001,that they may well also need a
1322.3600000000001,wider sense of how the world
1324.2,works and how things can
1325.24,naturally fit together in order
1326.92,to eventually arrive at the
1328.68,optimal representation for the
1330.5600000000002,combination of meanings in each
1332.2,particular case. So in the first
1335.44,"part, we talked about particular"
1338.0,aspects of language and
1339.8400000000001,particular aspects of neural
1340.92,"computation that have, that seem"
1344.76,to fit together in a
1345.8400000000001,"particularly appropriate way,"
1348.76,such that they define certain
1351.52,ways in which a computational
1352.88,model might need to behave in
1354.96,order to capture the ways that
1356.68,meaning works in language. So in
1359.48,"this section, we're going to"
1360.8400000000001,talk much more concretely about
1362.8400000000001,"a specific model, which was"
1364.92,published just a couple of years
1367.04,ago and has had an incredible
1369.52,impact on a large number of
1372.2,natural language processing
1373.28,problems from machine
1374.88,translation to sentence
1377.44,classification and essentially
1379.3200000000002,any problem that requires a
1380.52,model to process a sentence or a
1383.8400000000001,passage of multiple sentences
1385.64,and compute some sort of
1387.24,behavioural prediction based on
1388.72,that. So it's fair to say that
1390.92,"for any problem of that form,"
1393.3200000000002,transformer is probably the
1394.68,state of the art method or some
1396.5200000000002,variant of a transformer is the
1398.48,best way for the model to learn
1401.0800000000002,and to learn to extract the
1402.2800000000002,signal from those sentences in
1403.8000000000002,order to make optimal
1404.68,protections. And in this section
1408.16,I'll talk about the details of
1409.16,the transformer and just refer
1411.5600000000002,back to those aspects of
1412.68,language processing that we saw
1413.8400000000001,"in the first section, which is"
1415.32,in order to give some intuition
1416.6,about why the transformer might
1418.1599999999999,be so effective when it
1419.28,processes language. So just
1423.8799999999999,here's credit to the authors of
1425.04,the transformer from Google
1427.04,Brain and collaborators and the
1429.9199999999998,paper is obviously available for
1431.8,you to find out the fine details.
1434.12,But I'll give a broad overview
1435.4399999999998,and starting in particular with
1436.9199999999998,the first layer. So the
1439.28,transformer contains a
1441.52,distributed representation of
1443.1599999999999,"words in its first layer, which"
1445.08,is something it has in common
1446.28,with almost any neural language
1448.08,models now. And what do I mean
1450.9199999999998,by a distributed representation
1452.4399999999998,"of words? Well, the first thing"
1454.6399999999999,that we do when we construct a
1456.0,neural language model is we have
1457.6799999999998,to determine what is the
1459.36,vocabulary on which the model
1462.28,is going to operate. So what I
1465.1999999999998,mean by that is we do need to
1466.9199999999998,"chop up the input, which the"
1469.8799999999999,model sees into some sort of
1471.9199999999998,units in order to pass them to
1473.6,"the model. Now, if you think of"
1474.92,"a large page of text, those"
1476.76,units could be individual
1478.5600000000002,"characters. In an extreme case,"
1480.52,they could be individual pixels
1482.76,"if we considered the text, an"
1485.6000000000001,"actual image. But in general,"
1487.68,with language processing
1488.5600000000002,"applications, because we have"
1489.72,"text stored in digital form, we"
1492.3200000000002,don't need to go through that
1493.52,phase and subject our model to
1495.2,having to learn to process
1496.24,pixels. So we have to make a
1498.48,decision about what are the
1500.1200000000001,units that we actually pass to
1501.4,the model. And in most
1503.64,applications of neural language
1505.2,"models these days, that can"
1506.5200000000002,"either be character level,"
1508.68,which is where we pass each unit
1511.24,"as an individual letter, or it"
1514.6000000000001,"can be word level, which is"
1516.5200000000002,where we split the input
1518.76,according to white space in the
1520.48,text. And then we pass each of
1522.4,the individual words to the
1523.5200000000002,model as discrete different
1527.0800000000002,"symbols. But of course, as we've"
1530.76,talked about in the last
1531.84,"section, a model which just takes"
1534.48,symbols and treats them as
1535.6399999999999,symbols might not be optimal for
1537.8,capturing all of the aspects of
1539.28,meaning that we see in natural
1540.6,language. So instead of doing
1543.48,"that, the developers of neural"
1545.28,language models have come up
1546.36,with a procedure which allows
1548.04,the model to be more flexible in
1549.48,which it represents in the ways
1551.3999999999999,in which it represents words.
1553.56,And that process is something
1554.6,like the following. So let's say
1556.12,we do take the decision to chop
1558.0,up our input text according to
1560.88,individual words. So what we
1563.7600000000002,"should, what we first do is we"
1565.0800000000002,consider all of the words that
1566.24,we want our model to be aware
1567.5200000000002,"of, and we let that define the"
1569.0,total vocabulary of the model.
1571.2800000000002,"So to get such a list, we might"
1572.68,scan hundreds of thousands of
1574.92,pages of text and count all the
1576.2,words that we find there. And
1577.7600000000002,then we can take some subset of
1579.24,the words which appear the most
1580.4,"frequently, or alternatively, if"
1582.0,we have lots of memory and a
1583.0400000000002,"really big model, we can take"
1584.4,all of the words and allow all
1585.8400000000001,of those to be in the vocabulary
1587.24,of the model. What we typically
1588.8000000000002,do in a neural language model
1590.04,then is pass each of the words
1592.76,to an input layer. And that
1594.96,input layer contains a
1596.04,"particular unit for each,"
1598.56,corresponding to each of the
1599.6399999999999,words in the vocabulary of the
1600.92,"model. But importantly, those"
1603.32,units are then connected to a
1605.36,set of weights. And it's always
1607.76,each unit is connected to the
1609.2,same number of weights and those
1611.1599999999999,weights connect to a set of
1612.92,units of a particular dimension.
1615.8799999999999,Now that dimension we can think
1617.24,of as the word representation
1618.92,dimension or the word embedding
1620.72,dimension. And when the model
1623.28,"sees a given word, we turn on"
1625.4,the unit corresponding to that
1627.24,word and we leave all of the
1629.5600000000002,other units as zero. So we put
1631.1200000000001,an activation of one on unit
1633.52,"corresponding to the word, leave"
1635.04,all of the other weights as zero
1636.96,and we've marked those weights
1638.16,in this diagram here with
1639.64,yellow and light blue shows the
1642.44,space occupied by the whole
1643.8000000000002,layer of input weights for the
1645.0,"model. So in this case, the"
1647.64,"model sees the word the, we turn"
1650.3200000000002,on the weights corresponding to
1651.5600000000002,"the word the and of course,"
1653.72,because we activate the unit
1655.88,with strength of one and we
1657.72,activate each of the units at
1659.72,"the output of the next layer,"
1661.3600000000001,which is corresponding to this
1662.68,black box around the grey
1664.5600000000002,"rectangle, we activate each of"
1666.96,the units there according to
1668.8000000000002,exactly what the weight is that
1671.92,"went from the word, the unit"
1673.2800000000002,"corresponding to the, to this"
1674.8400000000001,distributed layer. So
1676.24,effectively we get a
1677.72,"representation in that, in that"
1679.72,layer with the black box around
1681.6,"the rectangle, we get a"
1683.04,representation corresponding to
1684.68,"the word the, but that"
1685.84,representation is actually a
1687.76,"finite number of weights,"
1689.32,floating point valued weights.
1692.44,And if we do this for all the
1693.52,"words, we get a different"
1694.48,representation for all of the
1695.64,words. So we can unroll the input
1698.04,"and actually do, repeatedly do"
1699.92,this and get a sequence of
1702.68,vectors of floating point values
1705.12,for each of the words in our
1706.32,input. And those vectors live in
1708.12,a space and importantly that
1710.08,space has certain geometric
1712.0,properties. So we might find
1714.2399999999998,"that it, representing words in a"
1716.6399999999999,space like that allows words to
1719.9199999999998,move together in the space if
1722.36,it's useful for the model to
1723.6,represent them as somewhat
1725.2399999999998,similar and to move further away
1727.2399999999998,in that space if it's useful for
1728.8799999999999,the model to represent them as
1730.9199999999998,"different, because remember with"
1732.3999999999999,"that propagation, all of the"
1734.08,weights in this first layer of
1735.3999999999999,the model are going to be
1736.3999999999999,trained to optimise the model to
1738.08,achieve its objective. So this
1739.84,gives the model the flexibility
1741.08,to move its representation of
1742.76,individual words around as it
1745.04,sees fit in the best way to
1746.9199999999998,achieve its objective. So just
1750.6799999999998,"to recap, this is the first"
1752.32,layer of many neural language
1753.56,"models, including the"
1754.76,"transformer, and it contains"
1756.1999999999998,quite a lot of weights. So if we
1758.6,have a total of capital V words
1761.52,"in our vocabulary, and if"
1763.44,capital D is the dimension of
1765.52,the vector that we're going to
1766.3200000000002,represent each of these words
1768.48,"with in a floating point vector,"
1771.16,then the total number of weights
1772.68,that we have in the first layer
1773.6000000000001,is V multiplied by D. And we end
1777.0800000000002,up with a D dimensional
1779.24,Euclidean space with which to
1781.28,represent these input units in
1783.0800000000002,the model. Now this idea of
1787.0800000000002,representing words or letters or
1789.3600000000001,whatever we take as the input
1790.64,units to a model in some sort of
1792.72,"high dimensional floating value,"
1794.76,real valued vector space is
1796.76,actually quite an old idea. If
1799.24,"we go back to 1991,"
1800.56,Michael Eynon and Dyer produced
1802.6000000000001,"a language, a neural language"
1804.0,model with much less
1806.32,computational power than
1807.32,"current models have, but it's"
1809.56,still tried to execute this
1811.52,principle of representing input
1813.08,words in this distributed
1814.68,geometric space. And it was able
1816.8,to exhibit certain types of
1818.4,interesting generalisation when
1820.32,trained on real text that are
1822.24,model which represented words as
